store_id,transaction_id,staion_no,sale_line_no,sale_date_key,sale_date,amount,item_key
mpr,mpr00100001167480,1,1,20220606,06/06/2022 11:15,49.05,9164
mpr,mpr00100001167480,1,2,20220606,06/06/2022 11:15,-40.86,9162
mpr,mpr00100001167481,1,1,20220606,06/06/2022 11:18,12.68,8437
mpr,mpr00100001167481,1,2,20220606,06/06/2022 11:18,8.14,8439
mpr,mpr00100001167481,1,3,20220606,06/06/2022 11:18,32.68,13333
mpr,mpr00100001167482,1,1,20220606,06/06/2022 11:26,9.05,17728
mpr,mpr00100001167483,1,1,20220606,06/06/2022 11:27,9.05,8397
mpr,mpr00100001167483,1,2,20220606,06/06/2022 11:27,2.86,8527
mpr,mpr00100001167483,1,3,20220606,06/06/2022 11:27,7.07,16981
mpr,mpr00100001167483,1,4,20220606,06/06/2022 11:27,25,13585
mpr,mpr00100001167484,1,1,20220606,06/06/2022 11:31,-36.32,19213
mpr,mpr00100001167485,1,1,20220606,06/06/2022 11:32,6.77,12760
mpr,mpr00100001167485,1,2,20220606,06/06/2022 11:32,27.23,12594
mpr,mpr00100001167486,1,1,20220606,06/06/2022 11:42,22.68,469
mpr,mpr00100001167487,1,1,20220606,06/06/2022 12:08,5.41,13698
mpr,mpr00100001167487,1,2,20220606,06/06/2022 12:08,2.27,10949
mpr,mpr00100001167487,1,3,20220606,06/06/2022 12:08,5.91,13580
mpr,mpr00100001167488,1,1,20220606,06/06/2022 12:09,19.95,17019
mpr,mpr00100001167488,1,2,20220606,06/06/2022 12:09,31.77,8408
mpr,mpr00100001167489,1,1,20220606,06/06/2022 12:11,10.45,7106
mpr,mpr00100001167489,1,2,20220606,06/06/2022 12:11,18.14,7109
mpr,mpr00100001167490,1,1,20220606,06/06/2022 12:33,36.32,18974
mpr,mpr00100001167490,1,2,20220606,06/06/2022 12:33,11.77,20726
mpr,mpr00100001167491,1,1,20220606,06/06/2022 12:46,28.95,19181
mpr,mpr00100001167491,1,2,20220606,06/06/2022 12:46,40.77,17786
mpr,mpr00100001167491,1,3,20220606,06/06/2022 12:46,3.59,7911
mpr,mpr00100001167491,1,4,20220606,06/06/2022 12:46,45.36,18746
mpr,mpr00100001167491,1,5,20220606,06/06/2022 12:46,13.59,8312
mpr,mpr00100001167491,1,6,20220606,06/06/2022 12:46,7.23,15272
